ID,reputation
6304994,1
6304995,11
6304996,56
6304997,1
6304998,1
6304999,1
6305000,1
6305001,1
6305002,1
6305003,51
6305004,11
6305005,1
6305006,23
6305008,1
6305009,1
6305010,1
6305011,1
6305012,1
6305013,1
6305014,1
6305015,1
6305016,115
6305017,1
6305018,1
6305019,96
6305020,1
6305021,1
6305022,1
6305023,1
6305024,37
6305025,1
6305026,75
6305028,21
6305029,1
6305030,1
6305031,1
6305033,1
6305035,1
6305036,1
6305037,1
6305038,1
6305039,1
6305041,1
6305042,1
6305043,1
6305044,1
6305046,21
6305047,36
6305048,1
6305049,1
6305050,45
6305051,1
6305052,13
6305054,1
6305055,96
6305056,1
6305057,1
6305058,1
6305059,1
6305060,34
6305061,1
6305063,41
6305064,1
6305065,1
6305067,1
6305068,1
6305069,9
6305070,1
6305072,1
6305073,19
6305074,1
6305075,1
6305077,1
6305078,19
6305079,21
6305080,1
6305081,1
6305082,1
6305084,1
6305085,1
6305086,1
6305087,1
6305088,1
6305089,1
6305090,1
6305091,1
6305092,1
6305093,1
6305094,1
6305095,1
6305096,1
6305097,1
6305098,1
6305099,3
6305100,1
6305101,1
6305102,11
6305103,1
6305104,55
6305105,488
6305106,1
6305107,1
6305108,1
6305109,1
6305110,1
6305111,1
6305112,1
6305113,1
6305114,50
6305115,3
6305116,3
6305117,1
6305118,1
6305119,1
6305120,1
6305121,1
6305122,1
6305123,51
6305124,1
6305125,1
6305126,1
6305127,1
6305128,1
6305129,1
6305130,1
6305131,1
6305133,1
6305134,1
6305135,1
6305136,1
6305137,41
6305138,87
6305139,1
6305140,1
6305141,1
6305142,1
6305143,19
6305144,51
6305145,1
6305146,11
6305147,1
6305148,1
6305149,1
6305150,1
6305151,1
6305152,1
6305153,1
6305154,65
6305155,76
6305156,1
6305157,21
6305158,11
6305159,11
6305160,1
6305161,1
6305162,1
6305163,1
6305164,1
6305165,1
6305166,1
6305167,1
6305168,1
6305169,1
6305170,516
6305171,1
6305172,21
6305173,1
6305174,1
6305175,129
6305176,73
6305177,1
6305178,18
6305179,1
6305180,49
6305181,1
6305182,21
6305183,1
6305184,1
6305185,1
6305186,1
6305187,1
